img_url,tweet_url,tweet_text,tweet_id,is_hateful
http://pbs.twimg.com/media/DrQDyZUVsAA5i73.jpg,https://twitter.com/user/status/1059475981243576322,me:  bts through my bts phone: I SAID GO TO SLEEP NIGGA https://t.co/ShYBKeiAgl,1059475981243576322,True
http://pbs.twimg.com/media/DqdM7hvXgAAKHVJ.jpg,https://twitter.com/user/status/1055897234833858560,@AP He always speaks.  He is a loudmouth redneck racist. https://t.co/mnGdc2MeU0,1055897234833858560,True
http://pbs.twimg.com/tweet_video_thumb/D2RGI4XX0AAVqIR.jpg,https://twitter.com/user/status/1109088534412042240,@Kenzo________ Nigga! https://t.co/jXP4iITd2c,1109088534412042240,True
http://pbs.twimg.com/media/Dp9H8arWwAE5xJu.jpg,https://twitter.com/user/status/1053652694286639106,He takes off martial.. What a twat https://t.co/00fzMA927c,1053652694286639106,True
http://pbs.twimg.com/media/Dq7I-hGX0AAhFe5.jpg,https://twitter.com/user/status/1058003945195483137,THIS NIGGA IS NOT PLAYING FAIR https://t.co/UMCIh1JkHm,1058003945195483137,True
http://pbs.twimg.com/media/D18g0ItU4AA129S.jpg,https://twitter.com/user/status/1107640117089300486,@ChatByCC @JudgeJeanine @FoxNews @realDonaldTrump Go fick yourself cunt https://t.co/e0o7V3EvOu,1107640117089300486,True
http://pbs.twimg.com/tweet_video_thumb/D1-5Mq-WwAAMfs_.jpg,https://twitter.com/user/status/1107807668272615424,@TheKingofReads Bitch I’m about cop a slew of crop tops I dare a bitch or nigga to try me https://t.co/12RfIX8scI,1107807668272615424,True
http://pbs.twimg.com/media/DsTExYlXcAcPELq.jpg,https://twitter.com/user/status/1064192490977312768,"these pictures have 2 different kinds of dyke energy, but it is dyke energy nonetheless https://t.co/oURYd8sWOk",1064192490977312768,True
http://pbs.twimg.com/media/D3mBvq6WsAgwN0h.jpg,https://twitter.com/user/status/1115065045430435841,I'm ready are you??? #faggot #barebacked #chastity https://t.co/J8m2F2mUFy,1115065045430435841,True
http://pbs.twimg.com/media/DrIFvqMX4AE-y7H.jpg,https://twitter.com/user/status/1058915182758555648,if a fat cunt k's me one more time i swear on everything i'm deactivating https://t.co/zHhozdNRPR,1058915182758555648,True
http://pbs.twimg.com/media/D3v-O3yW4AIhvm6.jpg,https://twitter.com/user/status/1115764882232811521,Dis nigga Future be preaching https://t.co/PppHmOpf1M,1115764882232811521,True
http://pbs.twimg.com/tweet_video_thumb/D3bLt3eW0AA9igG.jpg,https://twitter.com/user/status/1114301959329189888,@Only_moe @MAXDTHEGAWD @AdriannyJoselin @thegreenranger_ nigga said bafoons.... https://t.co/q0MTHG6QIs,1114301959329189888,True
http://pbs.twimg.com/media/DmAx39_UwAA-MGN.jpg,https://twitter.com/user/status/1035882753982648320,"Featured Art of the Day: ""Anthony Van Dyke"". Buy it at: https://t.co/rGmkIJN6nJ https://t.co/74mBIWWXaA",1035882753982648320,True
http://pbs.twimg.com/media/Dl_f6NkXsAAF0Md.jpg,https://twitter.com/user/status/1035792632604180480,Another vid sold! Cum Tit Cleaning Faggot https://t.co/sPxCM59gMW #ManyVids https://t.co/lxe15iwJTQ,1035792632604180480,True
